lead_id,fecha_contacto,edad,pais_origen,idioma_interes,canal_contacto,interacciones_previas,conversion,dias_a_conversion,monto_compra_usd
1,2025-02-19,22,Brasil,Francés,Youtube,1,1,24.0,2216.38
2,2025-04-24,35,Chile,Alemán,Organico,1,0,,
3,2025-06-09,44,Chile,Inglés,Organico,3,0,,
4,2025-06-07,30,México,Alemán,Organico,5,0,,
5,2025-05-31,26,México,Inglés,Google Ads,2,1,11.0,2383.79
6,2025-03-31,23,Argentina,Italiano,Instagram,5,0,,
7,2025-04-15,44,Chile,Italiano,Youtube,3,1,12.0,1733.33
8,2025-05-20,36,Colombia,Japonés,Youtube,1,1,12.0,1309.74
9,2025-05-06,22,Brasil,Alemán,Organico,3,1,25.0,1661.51
10,2025-02-26,41,México,Inglés,Youtube,4,1,3.0,2111.94
11,2025-06-02,34,Brasil,Italiano,Instagram,4,1,23.0,1626.55
12,2025-06-12,38,Brasil,Francés,Instagram,5,1,10.0,2176.03
13,2025-03-07,26,Argentina,Italiano,TikTok,5,1,8.0,930.21
14,2025-02-03,26,Chile,Francés,TikTok,2,1,11.0,1441.83
15,2025-06-21,39,México,Inglés,Facebook,2,0,,
16,2025-01-19,36,Brasil,Italiano,Instagram,4,0,,
17,2025-03-15,19,México,Italiano,Instagram,1,1,27.0,2003.94
18,2025-02-05,23,Colombia,Inglés,Instagram,3,0,,
19,2025-06-08,39,Argentina,Italiano,TikTok,2,0,,
20,2025-05-18,18,Colombia,Francés,Organico,2,1,16.0,923.69
21,2025-04-24,37,México,Italiano,Organico,1,1,22.0,2017.82
22,2025-04-13,36,México,Alemán,Youtube,1,1,22.0,1122.66
23,2025-04-08,17,Chile,Japonés,Organico,5,1,14.0,2363.82
24,2025-03-04,39,Brasil,Francés,Google Ads,3,0,,
25,2025-04-07,27,Brasil,Alemán,TikTok,1,0,,
26,2025-06-12,21,Colombia,Inglés,Instagram,2,1,28.0,1202.19
27,2025-05-08,17,Argentina,Francés,Organico,2,0,,
28,2025-05-23,43,Brasil,Japonés,TikTok,4,0,,
29,2025-02-14,36,Chile,Japonés,Organico,1,0,,
30,2025-02-09,16,Colombia,Inglés,Facebook,5,1,5.0,1219.01
31,2025-03-03,27,Colombia,Inglés,Instagram,3,0,,
32,2025-05-25,41,Chile,Francés,Facebook,5,1,25.0,2232.17
33,2025-03-11,37,Argentina,Italiano,Instagram,2,1,28.0,1913.66
34,2025-04-01,44,Chile,Inglés,TikTok,5,1,15.0,1386.65
35,2025-02-22,27,Argentina,Italiano,Youtube,2,1,15.0,2191.51
36,2025-06-20,40,Chile,Alemán,Organico,2,0,,
37,2025-05-09,32,Chile,Japonés,Organico,2,1,26.0,1287.51
38,2025-06-01,42,México,Italiano,Google Ads,2,1,19.0,2483.23
39,2025-03-16,42,Colombia,Japonés,Facebook,2,1,8.0,1107.53
40,2025-05-10,25,Chile,Italiano,Organico,4,0,,
41,2025-01-26,43,Chile,Alemán,TikTok,5,1,23.0,2135.61
42,2025-01-21,43,Brasil,Inglés,Youtube,4,0,,
43,2025-04-13,31,Colombia,Alemán,TikTok,4,1,27.0,1999.82
44,2025-03-11,30,Brasil,Inglés,Facebook,1,1,15.0,1185.86
45,2025-05-24,30,Colombia,Inglés,Google Ads,1,1,17.0,971.6
46,2025-05-07,34,Brasil,Japonés,Organico,1,1,11.0,1806.5
47,2025-04-02,27,Chile,Alemán,TikTok,3,1,5.0,1133.63
48,2025-04-07,38,Chile,Italiano,Instagram,1,1,14.0,1251.39
49,2025-05-06,35,México,Alemán,Youtube,5,0,,
50,2025-02-15,40,Brasil,Japonés,TikTok,4,1,8.0,1735.02
51,2025-04-22,18,Argentina,Inglés,Youtube,5,1,16.0,1509.76
52,2025-04-10,20,México,Japonés,Organico,1,1,5.0,2196.83
53,2025-03-04,34,Brasil,Francés,Instagram,3,0,,
54,2025-04-25,22,Brasil,Francés,Google Ads,3,1,4.0,1364.45
55,2025-05-10,36,México,Italiano,Google Ads,4,1,24.0,1344.59
56,2025-04-25,24,Chile,Japonés,Instagram,5,0,,
57,2025-05-19,22,Brasil,Italiano,Youtube,2,1,4.0,1027.66
58,2025-07-12,33,Chile,Italiano,Organico,5,1,29.0,1721.41
59,2025-06-16,19,México,Francés,TikTok,1,1,5.0,2054.42
60,2025-05-15,40,Chile,Italiano,Instagram,2,1,25.0,2395.68
61,2025-05-27,43,Colombia,Francés,Facebook,3,1,9.0,2071.68
62,2025-07-06,29,Argentina,Inglés,Youtube,4,1,14.0,1874.89
63,2025-03-04,33,Brasil,Japonés,Google Ads,4,1,24.0,1546.58
64,2025-01-13,41,Argentina,Italiano,Instagram,3,1,4.0,2172.35
65,2025-05-31,24,Chile,Francés,Google Ads,1,1,13.0,1778.15
66,2025-04-12,41,Brasil,Alemán,Youtube,3,0,,
67,2025-03-21,36,Chile,Italiano,Google Ads,1,0,,
68,2025-01-25,17,Colombia,Inglés,Instagram,2,0,,
69,2025-06-22,35,México,Inglés,Youtube,3,1,18.0,1817.85
70,2025-05-04,43,Brasil,Alemán,Facebook,1,1,16.0,2417.93
71,2025-02-06,30,Colombia,Francés,Instagram,2,1,25.0,1907.87
72,2025-06-23,43,Colombia,Italiano,TikTok,3,1,6.0,2182.27
73,2025-04-24,22,Brasil,Francés,Organico,4,0,,
74,2025-06-15,27,Chile,Inglés,Instagram,3,1,16.0,1041.58
75,2025-05-11,44,Colombia,Francés,Youtube,5,1,1.0,1324.2
76,2025-06-12,23,Argentina,Inglés,Organico,3,1,21.0,2254.46
77,2025-06-24,30,Colombia,Francés,Instagram,5,1,8.0,1002.54
78,2025-05-23,18,Chile,Alemán,Facebook,2,1,30.0,1122.34
79,2025-05-19,29,Chile,Japonés,Facebook,3,1,26.0,1689.65
80,2025-02-23,32,Argentina,Alemán,TikTok,2,1,22.0,1163.57
81,2025-03-31,19,Colombia,Alemán,Google Ads,2,0,,
82,2025-06-10,33,Chile,Japonés,Organico,1,1,11.0,1329.92
83,2025-02-02,23,Brasil,Japonés,Youtube,2,0,,
84,2025-02-08,19,México,Italiano,Youtube,2,0,,
85,2025-03-20,17,México,Italiano,Google Ads,3,1,5.0,1459.78
86,2025-06-26,21,México,Alemán,Facebook,3,0,,
87,2025-04-03,37,Colombia,Alemán,Facebook,4,1,11.0,1788.01
88,2025-02-10,25,Argentina,Inglés,Instagram,1,0,,
89,2025-05-31,19,Chile,Inglés,TikTok,2,1,10.0,1788.42
90,2025-04-23,37,Brasil,Italiano,Organico,1,1,21.0,1688.83
91,2025-04-12,44,Brasil,Italiano,TikTok,5,1,17.0,2416.05
92,2025-01-12,33,Colombia,Inglés,TikTok,2,1,13.0,2060.62
93,2025-05-11,41,México,Inglés,Instagram,1,0,,
94,2025-02-16,27,Colombia,Francés,TikTok,4,1,18.0,1885.95
95,2025-06-30,17,Argentina,Francés,Google Ads,4,0,,
96,2025-05-23,25,Argentina,Inglés,Instagram,2,1,16.0,1885.96
97,2025-03-15,19,Chile,Francés,Google Ads,5,0,,
98,2025-04-05,29,Chile,Japonés,Instagram,4,1,18.0,1639.78
99,2025-06-03,31,Argentina,Italiano,TikTok,4,1,22.0,2407.68
100,2025-05-02,30,Argentina,Italiano,Google Ads,5,1,6.0,2249.74
101,2025-05-30,23,Argentina,Inglés,Google Ads,1,0,,
102,2025-02-20,29,Colombia,Alemán,Google Ads,4,1,18.0,1440.34
103,2025-04-28,38,Argentina,Inglés,Instagram,3,1,8.0,1445.07
104,2025-05-11,43,Brasil,Francés,Youtube,4,1,15.0,2125.25
105,2025-03-25,40,México,Alemán,TikTok,1,0,,
106,2025-04-10,23,Argentina,Francés,Google Ads,1,1,11.0,1748.18
107,2025-07-06,36,México,Japonés,Organico,2,1,25.0,1490.49
108,2025-03-13,31,Colombia,Francés,Youtube,3,1,29.0,1912.28
109,2025-04-05,28,México,Japonés,Organico,1,0,,
110,2025-05-02,33,Colombia,Japonés,TikTok,5,0,,
111,2025-04-09,30,Brasil,Francés,TikTok,3,1,21.0,1844.37
112,2025-03-19,36,Colombia,Francés,Google Ads,3,1,6.0,1637.55
113,2025-07-02,39,Colombia,Japonés,Google Ads,5,1,4.0,2010.21
114,2025-03-19,41,Chile,Alemán,Instagram,4,1,27.0,2249.48
115,2025-01-13,40,Argentina,Japonés,Youtube,5,1,24.0,1512.65
116,2025-07-01,43,Argentina,Italiano,Youtube,5,0,,
117,2025-05-29,43,Brasil,Japonés,Google Ads,4,1,16.0,2497.47
118,2025-01-14,43,Brasil,Alemán,TikTok,4,0,,
119,2025-02-14,28,Argentina,Italiano,Google Ads,4,1,4.0,2307.76
120,2025-02-15,24,Chile,Inglés,TikTok,4,0,,
121,2025-05-04,44,Argentina,Inglés,TikTok,4,1,25.0,1941.92
122,2025-02-16,30,Chile,Alemán,Google Ads,5,1,16.0,1550.6
123,2025-02-21,28,Brasil,Japonés,Facebook,2,1,11.0,1456.38
124,2025-03-27,16,México,Francés,Youtube,2,1,23.0,1222.65
125,2025-01-14,40,Brasil,Alemán,Organico,1,1,28.0,2028.58
126,2025-03-30,22,Brasil,Italiano,TikTok,2,0,,
127,2025-02-21,24,Colombia,Italiano,TikTok,2,0,,
128,2025-02-12,39,Colombia,Inglés,Facebook,5,1,9.0,2236.78
129,2025-05-14,16,Colombia,Italiano,Organico,4,1,12.0,1187.37
130,2025-03-20,27,Colombia,Alemán,Instagram,4,1,26.0,1998.83
131,2025-04-06,23,Chile,Italiano,Facebook,5,1,27.0,1081.56
132,2025-04-07,39,Argentina,Alemán,Organico,2,1,25.0,1570.8
133,2025-02-17,26,México,Francés,Facebook,5,0,,
134,2025-07-03,34,Brasil,Inglés,TikTok,1,0,,
135,2025-04-03,32,Chile,Italiano,Youtube,4,0,,
136,2025-01-12,23,México,Alemán,Facebook,3,1,24.0,980.06
137,2025-03-03,18,Chile,Japonés,Instagram,1,0,,
138,2025-04-24,18,Chile,Inglés,Google Ads,1,0,,
139,2025-06-22,16,Brasil,Francés,Organico,5,1,28.0,1708.26
140,2025-04-24,42,Argentina,Alemán,Facebook,2,1,15.0,2194.45
141,2025-04-12,20,Colombia,Francés,Facebook,4,0,,
142,2025-06-27,25,Argentina,Francés,Instagram,3,1,21.0,2166.16
143,2025-01-25,22,Brasil,Italiano,Youtube,1,1,28.0,2149.26
144,2025-02-11,41,Brasil,Italiano,Facebook,3,1,8.0,2280.61
145,2025-05-15,24,Brasil,Alemán,Facebook,2,1,8.0,2297.81
146,2025-05-08,43,México,Japonés,Youtube,2,1,8.0,1688.85
147,2025-02-24,22,Argentina,Alemán,Instagram,3,0,,
148,2025-07-01,24,Argentina,Japonés,Organico,4,0,,
149,2025-05-19,23,Chile,Francés,Organico,2,1,12.0,2012.51
150,2025-02-11,27,Chile,Inglés,Facebook,3,1,14.0,2376.2
151,2025-03-19,17,Chile,Alemán,Youtube,1,1,13.0,1376.77
152,2025-06-01,16,Brasil,Alemán,Facebook,3,1,17.0,1185.22
153,2025-03-21,31,Argentina,Japonés,Google Ads,3,1,9.0,1824.92
154,2025-04-23,38,Brasil,Francés,Organico,5,1,1.0,1883.43
155,2025-04-20,38,México,Francés,TikTok,2,1,7.0,2302.56
156,2025-05-10,39,Chile,Japonés,Google Ads,4,1,8.0,2200.41
157,2025-01-18,20,Brasil,Francés,Facebook,4,1,13.0,1639.42
158,2025-05-16,18,Brasil,Italiano,Instagram,5,1,7.0,1012.81
159,2025-01-25,27,México,Inglés,Organico,4,1,30.0,2497.79
160,2025-03-25,23,Colombia,Alemán,TikTok,3,0,,
161,2025-07-08,37,Argentina,Inglés,Google Ads,5,1,23.0,1050.78
162,2025-06-23,42,Colombia,Alemán,Organico,1,0,,
163,2025-05-10,18,Chile,Italiano,Youtube,2,1,24.0,1504.85
164,2025-03-17,16,Brasil,Francés,Instagram,2,1,25.0,2122.79
165,2025-06-14,18,México,Japonés,Google Ads,2,0,,
166,2025-01-12,20,México,Italiano,Youtube,3,1,22.0,1636.91
167,2025-07-05,30,Argentina,Inglés,Facebook,1,1,24.0,1742.43
168,2025-05-01,29,Colombia,Japonés,Youtube,5,1,19.0,1999.08
169,2025-02-06,18,Argentina,Francés,Google Ads,5,1,27.0,2246.43
170,2025-02-21,16,Brasil,Italiano,Google Ads,2,0,,
171,2025-03-02,20,Argentina,Japonés,Facebook,1,1,17.0,1399.41
172,2025-07-03,41,México,Italiano,Youtube,1,1,17.0,1551.48
173,2025-06-19,38,México,Italiano,Youtube,1,1,30.0,1375.35
174,2025-06-15,29,Chile,Francés,Facebook,4,1,4.0,1218.13
175,2025-05-27,22,Chile,Alemán,Youtube,4,0,,
176,2025-01-15,42,Brasil,Japonés,Organico,2,0,,
177,2025-05-01,24,Colombia,Francés,Facebook,1,1,6.0,1038.98
178,2025-04-06,30,Argentina,Italiano,Instagram,1,1,22.0,1973.56
179,2025-04-24,30,Brasil,Francés,Google Ads,5,0,,
180,2025-02-28,41,Chile,Alemán,Instagram,5,1,17.0,994.89
181,2025-07-08,25,Argentina,Japonés,Organico,2,1,7.0,1648.48
182,2025-03-22,43,Chile,Alemán,Organico,1,1,29.0,1926.23
183,2025-06-27,28,Argentina,Inglés,TikTok,2,1,2.0,1323.05
184,2025-01-12,34,Colombia,Japonés,TikTok,5,0,,
185,2025-05-17,22,Brasil,Alemán,TikTok,5,0,,
186,2025-06-11,32,Argentina,Italiano,Facebook,4,1,6.0,2234.6
187,2025-06-02,35,México,Japonés,Youtube,2,1,7.0,2378.97
188,2025-06-14,44,México,Japonés,Organico,2,1,7.0,1885.75
189,2025-01-16,19,Argentina,Francés,Instagram,1,1,17.0,2474.71
190,2025-01-11,20,Argentina,Italiano,Instagram,1,1,25.0,2143.5
191,2025-05-29,38,Argentina,Inglés,Instagram,4,0,,
192,2025-04-01,22,México,Alemán,Instagram,3,1,27.0,1897.8
